title,author,pub_time,star,style,long_time
放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16,8.8,"剧情,音乐",97
三傻大闹宝莱坞,"阿米尔·汗,黄渤,卡琳娜·卡普",2011-12-08,9.1,"剧情,喜剧,爱情,歌舞",170
当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17,8.9,"剧情,家庭,传记",117
勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-24(美国),8.8,"动作,传记,历史",177
黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003-11-05,8.8,"动作,冒险,科幻",129
速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森",2011-05-12,9.2,"动作,惊悚,犯罪",131
驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14,9.0,"喜剧,动画,奇幻,冒险",98
少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22,9.1,"奇幻,冒险,剧情",127
神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-07-09(美国),9.0,"喜剧,动画,冒险",95
闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国),8.8,剧情,157
飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009-08-04,8.9,"喜剧,动画,冒险",96
大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014-10-24,9.6,"动作,冒险,喜剧",87
飞越疯人院,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19(美国),8.8,剧情,133
怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-08-06(美国),8.9,"喜剧,爱情,剧情",90
断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2006-01-13(美国),9.0,"剧情,爱情,家庭",134
美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",1984-02-17(美国),9.1,"犯罪,剧情",229
致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-20(美国),8.8,"奇幻,悬疑,惊悚",130
鬼子来了,"姜文,姜宏波,陈强",2000-05-12(法国戛纳),8.9,"剧情,战争",139
无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012-11-06,9.1,"喜剧,动画,冒险",101
美丽心灵,"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",2001-12-21(美国),8.8,"传记,剧情",135
蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012-08-27,8.9,"动作,惊悚,犯罪",165
夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994-11-11(美国),8.8,"爱情,恐怖",123
