user,location,gender,followers,text,created_time,comments,good
央视新闻,北京,m,79409861,【#小黑盒可开智能门锁# 你家的锁安全吗？】不久前，几段用“小黑盒”打开智能门锁的视频在网络上流传。小黑盒，专业术语叫特斯拉线圈，开启瞬间可产生强大电磁场，干扰门锁内部电路，将锁打开。国家通用电子元器件及产品质检中心对38个品牌、40款型号的智能门锁进行了风险监测，其中15%能被小黑盒打开 ​,Mon Jan 07 09:50:52 +0800 2019,4577,11982
记得,河北,m,410931,2019幸运猪，心想事成，万事如意。#猪年限定# @猪小屁 ​,Sun Jan 06 22:52:24 +0800 2019,1470,19214
Edwin埃德文,四川,m,2929222,德国DJ Zedd在自己位于洛杉矶1600万美元的豪宅墙壁上，用乐高建了一个隐秘空间！！[吃惊][吃惊][吃惊] http://t.cn/EGKxYm5 ​,Sun Jan 06 18:35:53 +0800 2019,2218,21324
MD_摩登兄弟,辽宁 丹东,m,5817492,"2018感恩咱家朋友的陪伴。
2019愿大家每天都有好事发生。
很开心在新年伊始加入@QQ浏览器 #超新星热搜计划#成为超新星热搜官。马上打开手机QQ浏览器。搜索我的名字。扫描我的头像。期待源源不断的神秘惊喜吧。
#QQ浏览器超新星热搜官刘宇宁# ​",Mon Jan 07 10:00:03 +0800 2019,25800,27738
韩寒,上海,m,45577533,《飞驰人生》现场NG特辑http://t.cn/EGxFGSJ ​,Sun Jan 06 20:06:59 +0800 2019,6989,26853
中国日报,北京,m,41142699,【罚款400+扣6分！男子#不避让救护车被罚#】@北京交警 6日通报，一黑色小客车在北京东三环北路，不避让正在运送病人的救护车。经查，驾驶员刘某某未按照规定让行执行紧急任务的救护车，且驾驶未按规定期限进行安全技术检验的机动车，处400元罚款，扣6分。及时避让救护车，转发呼吁！（人民日报） ​,Mon Jan 07 10:59:03 +0800 2019,2169,5564
一起神回复,福建 福州,m,11249864,转需 ​,Sun Jan 06 17:54:06 +0800 2019,2234,15513
中国网新闻中心,北京 海淀区,m,610803,#清华奖学金答辩会 神仙打架# 【全程高能！清华本科生特等奖学金答辩，围观“神仙打架”！】近日，北京清华大学举办2018年本科生特等奖学金答辩会的视频再被翻出。入围答辩的学生群雄逐鹿，现场奖项、论文、研究成果横飞，被网友称作“神仙打架”！点开后默默退出，梁静茹都不敢给我点开视频的勇气，我 ​,Mon Jan 07 09:00:10 +0800 2019,3352,16352
张馨予,江苏 苏州,f,20897117,"他看见老奶奶摆摊卖麻花
把剩下的麻花都买回来了…
他说9斤麻花，可以吃四个月 ​",Mon Jan 07 09:55:48 +0800 2019,2876,27738
一支上上签,海外 印尼,f,6950108,明天开始的一周里，好事会不断发生 ​,Sun Jan 06 19:55:52 +0800 2019,2304,15901
